1,75
2,75
3,75
4,75
5,75
6,75
7,75
8,75
9,75
10,23
10,75
11,23
11,75
12,23
12,75
13,23
13,75
14,23
14,75
15,23
15,75
16,23
16,75
17,23
17,75
18,75
19,75
20,75
21,14
21,16
21,17
21,18
21,75
22,14
22,16
22,17
22,75
23,14
23,16
23,17
23,75
24,14
24,16
24,17
24,75
25,14
25,16
25,17
25,29
25,30
25,31
25,32
25,33
25,34
25,75
26,14
26,75
27,75
28,75
29,16
29,75
30,75
31,16
31,75
32,75
33,75
34,19
34,75
35,14
35,19
35,75
36,14
36,75
37,14
37,75
38,75
39,75
40,75
41,75
42,75
43,75
44,75
45,75
46,75
47,75
48,75
49,75
50,75
51,75
52,75
53,75
54,75
55,21
55,75
56,21
56,75
57,21
55,22
56,22
57,22



