21,16
22,16
23,16
24,16
25,16
21,17
22,17
23,17
24,17
25,17
21,18
25,29
25,30
25,31
25,32
25,33
25,34
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
21,14
22,14
23,14
24,14
25,14
26,14
29,16
31,16
35,14
36,14
37,14
34,19
35,19
55,21
56,21
57,21
55,22
56,22
57,22
1,75
2,75
3,75
4,75
5,75
6,75
7,75
8,75
9,75
10,75
11,75
12,75
13,75
14,75
15,75
16,75
17,75
18,75
19,75
20,75
21,75
22,75
23,75
24,75
25,75
26,75
27,75
28,75
29,75
30,75
31,75
32,75
33,75
34,75
35,75
36,75
37,75
38,75
39,75
40,75
41,75
42,75
43,75
44,75
45,75
46,75
47,75
48,75
49,75
50,75
51,75
52,75
53,75
54,75
55,75
56,75


